sscod;BELGIQUE;ALLEMAGNE;DANEMARK;ESPAGNE;FINLANDE;FRANCE;ROYAUME_UNI;GRECE;IRLANDE;PORTUGAL;SLOVENIE;ROUMANIE;TURQUIE;INDE;JAPON;ISRAEL;CONGO_/REP.DEM/;ALGERIE;MAROC;TUNISIE;TOTAL_AFRIQUE;TOTAL_(AVEC_REFUGIES)
21015A64-;1925;16;2;15;0;55;10;22;3;19;0;1;179;1;0;0;4;10;175;1;201;2637
21015A70-;1724;9;0;41;1;64;18;26;3;34;0;15;27;2;1;0;21;3;36;4;78;2253
21015A71-;666;3;0;19;0;20;10;7;1;16;0;1;3;0;0;0;19;0;1;1;32;826
21015A721;759;4;0;11;0;19;5;2;6;8;0;6;3;7;0;0;14;0;12;1;30;926
21015A73-;523;1;0;12;0;31;12;8;0;11;0;0;2;0;0;0;9;1;9;0;22;681
21015A77-;1069;3;2;11;0;28;5;2;0;9;0;12;3;0;2;0;12;0;33;1;61;1286
21015A782;161;;0;2;0;7;0;2;0;6;0;1;0;0;0;0;7;0;15;0;24;222
21015A811;1157;15;1;18;0;36;8;2;6;7;0;2;9;0;0;0;5;1;28;1;43;1364
21015A822;326;;0;4;0;10;3;0;0;4;0;0;2;3;0;0;4;1;4;0;9;398
21015A831;2830;25;5;65;0;86;23;31;2;30;1;9;16;27;3;0;6;4;28;4;69;3417
21015A883;272;1;0;9;0;14;0;0;0;2;0;0;3;3;0;0;0;0;1;0;1;315
21016A00-;3051;35;2;43;9;383;45;8;2;39;2;19;5;1;4;4;26;4;24;0;87;4027
21016A01-;2863;51;9;45;4;564;58;29;7;24;1;7;3;0;10;6;12;15;23;5;74;3923
21016A02-;2137;5;1;59;0;154;16;19;5;64;0;37;8;3;1;0;50;20;79;7;191;3018
21016A03-;2020;2;12;37;1;301;33;8;1;39;0;10;3;0;4;6;8;3;2;4;47;2709
21016A042;389;7;3;10;0;62;6;10;1;3;0;0;0;0;3;4;1;0;2;0;5;525
21016A05-;2808;19;8;85;4;268;35;8;4;136;0;9;3;1;1;3;21;8;50;5;125;3858
21016A102;1378;32;10;41;0;193;22;15;2;18;0;9;1;0;0;17;6;0;5;0;12;1892
21016A111;549;13;12;19;1;124;17;5;10;23;0;0;0;0;3;1;0;0;1;0;7;902
21016A12-;1447;46;28;18;4;314;42;11;21;37;0;10;5;1;10;12;4;3;8;7;27;2330
21016A13-;;;;;;;;;;;;;;;;;;;;;;5
21016A193;;;;;;;;;;;;;;;;;;;;;;2
21016A214;266;11;3;2;0;57;7;3;0;4;0;4;0;0;0;2;2;0;0;0;2;429
21016A225;334;6;3;10;0;56;1;10;1;13;3;0;0;0;2;4;0;0;0;0;6;511
21016A232;968;22;4;27;1;119;27;5;7;29;0;1;1;0;5;0;8;0;10;4;32;1386
21016A311;1025;42;29;12;1;205;42;1;1;18;0;2;2;3;0;0;0;0;3;1;8;1656
21016A322;509;4;3;11;0;55;10;3;1;25;0;4;1;0;0;0;6;0;1;0;9;696
21016A331;223;1;1;5;0;15;2;3;0;1;0;0;0;0;0;1;2;0;0;1;3;280
21016A342;2354;61;26;38;1;628;69;11;14;73;2;1;3;0;7;15;9;0;6;1;28;3605
21016A39-;;;;;;;;;;;;;;;;;;;;;;11
21016A400;1951;29;12;56;0;177;21;5;5;39;0;2;2;1;0;1;9;4;6;1;35;2502
21016A410;492;28;8;6;3;118;7;0;5;8;0;0;0;4;3;6;2;0;0;0;3;754
21016A429;1381;27;13;25;0;165;30;8;2;7;0;5;2;0;0;5;2;0;1;0;5;1776
21016A44-;1700;26;9;34;1;252;62;11;8;11;0;0;0;0;0;3;8;7;10;5;33;2288
21016A490;204;3;0;1;0;29;3;0;0;11;0;0;0;0;0;1;0;0;1;0;2;274
21016A521;385;6;0;4;0;31;3;0;0;1;0;0;0;0;0;4;0;0;2;0;2;464
21016A533;491;;0;9;0;26;4;0;0;0;0;0;0;0;0;0;0;0;1;0;1;567
21016A601;608;4;0;10;0;19;0;0;0;18;0;0;0;0;0;0;2;0;0;1;3;688
21016A610;386;;0;1;0;39;4;3;1;1;0;0;0;0;0;0;1;0;0;0;1;445
21016A620;786;5;4;7;0;119;3;10;1;3;0;1;0;0;0;2;0;0;1;0;1;972
21016A639;2284;3;1;33;0;93;2;4;4;7;0;1;0;0;2;0;1;5;17;0;36;2530
21016A64-;1356;;1;31;0;47;6;2;0;20;0;1;0;0;0;9;13;4;7;0;38;1571
21016A65-;634;9;0;17;0;18;2;0;0;23;0;3;0;0;0;1;3;9;15;0;27;790
21016A692;;;;;;;;;;;;;;;;;;;;;;3
21016A701;1817;6;2;41;0;66;7;19;0;38;0;19;5;0;0;0;25;4;30;11;104;2270
21016A71-;1334;6;0;39;0;52;14;2;4;8;0;0;0;0;1;5;1;1;3;0;8;1536
21016A72-;694;1;1;8;0;16;1;0;0;4;0;0;0;0;0;0;3;1;18;1;24;770
21016A731;403;;0;13;0;12;2;5;0;5;0;0;0;0;0;1;1;0;0;1;2;456
21016A772;425;;0;7;0;21;0;6;0;5;0;1;0;0;1;0;1;1;36;0;41;521
21016A80-;1650;46;14;54;4;282;48;11;6;45;0;23;11;3;5;4;9;6;25;2;65;2542
21016A81-;1890;41;10;73;13;317;56;18;8;66;0;21;26;0;13;9;5;3;15;3;38;3027
21016A82-;3098;48;4;99;4;570;77;52;14;132;1;14;15;47;18;17;29;18;22;7;114;4853
21016A831;2017;33;11;34;3;316;51;11;6;27;2;14;5;1;11;5;15;3;6;0;38;2824
21016A841;172;;0;1;0;16;10;1;1;9;0;0;0;0;0;0;0;0;0;0;0;379
21016A85-;1392;7;2;27;3;124;21;15;1;53;0;3;0;3;7;38;8;4;11;1;28;1915
21016A901;1596;28;7;13;0;180;19;18;1;37;0;6;0;0;1;0;9;0;12;7;37;2022
21016A912;717;2;0;19;1;56;5;1;3;17;0;1;0;4;0;0;2;1;1;0;8;863
21016A922;749;5;4;18;0;39;2;0;0;15;0;1;0;0;1;0;2;4;2;0;12;901
21016A933;2143;15;8;50;0;149;11;12;1;42;0;14;9;2;1;8;18;2;4;0;44;2640
21016A943;732;1;0;11;0;48;3;3;0;13;0;4;2;0;0;0;10;0;7;1;21;927
21016A954;225;;0;8;0;11;1;0;1;6;0;2;0;0;0;0;5;0;5;0;10;273
21017A000;848;12;1;5;0;32;11;0;1;9;0;3;0;4;4;0;1;0;2;0;4;1010
21017A01-;1137;8;2;8;0;50;24;1;5;3;0;0;0;0;1;0;2;0;2;0;16;1297
