"ID_SS";"ID_SS_bis";"exp_ais";"exp_individu";"exp_public";"exp_société";"exp_total"
71;"21001B241";0;4;0;3;7
72;"21001B372";0;0;0;0;0
73;"21001A10-";0;3;0;0;3
74;"21001A120";0;10;0;0;10
75;"21001A152";0;5;0;1;6
76;"21001A02-";0;1;0;1;2
77;"21001A112";1;8;1;6;16
78;"21002A20-";1;4;0;0;5
79;"21002A53-";0;1;0;0;1
80;"21002A511";0;4;0;0;4
81;"21002A23-";0;5;0;0;5
82;"21002A22-";0;0;0;1;1
83;"21002A24-";0;2;0;0;2
84;"21002A25-";0;3;0;0;3
85;"21002A45-";0;1;0;0;1
86;"21002A441";0;0;0;0;0
88;"21002A190";0;0;0;0;0
89;"21002A130";0;0;0;0;0
91;"21002A311";0;5;0;0;5
92;"21002A372";0;0;0;0;0
94;"21002A30-";0;1;1;2;4
95;"21002A21-";0;6;0;0;6
96;"21002A411";0;1;0;1;2
97;"21002A00-";0;0;0;0;0
99;"21002A18-";0;0;0;0;0
100;"21002A02-";0;3;0;0;3
101;"21002A030";0;5;2;0;7
102;"21002A15-";0;0;0;0;0
103;"21002A11-";0;1;0;0;1
104;"21002A10-";0;0;6;0;6
105;"21002A14-";0;0;2;0;2
106;"21002A12-";0;1;0;0;1
107;"21002A43-";0;1;0;2;3
109;"21002A422";0;0;0;0;0
110;"21002A072";0;0;0;0;0
111;"21002A041";0;1;0;0;1
112;"21002A01-";0;0;0;0;0
113;"21002A52-";0;0;0;0;0
114;"21003A38-";0;0;0;0;0
115;"21003A312";0;1;1;0;2
116;"21003A323";0;3;0;1;4
117;"21003A342";0;1;0;0;1
118;"21003A331";0;1;0;1;2
119;"21003A04-";0;1;0;0;1
120;"21003A0AJ";0;1;3;0;4
121;"21003A02-";0;8;0;2;10
122;"21003A03-";0;5;0;2;7
123;"21003A011";0;2;2;0;4
124;"21003A212";0;1;0;0;1
125;"21003A00-";0;9;1;0;10
126;"21003A283";0;2;0;1;3
127;"21003A11-";0;1;3;0;4
128;"21003A05-";0;5;0;1;6
129;"21003A41-";0;0;0;0;0
130;"21003A2MJ";0;4;0;0;4
131;"21003A10-";1;9;0;2;12
132;"21004B421";0;8;0;1;9
133;"21004B411";0;4;0;0;4
134;"21004F511";0;2;0;0;2
135;"21004C62-";0;2;0;0;2
136;"21004C65-";0;1;0;0;1
137;"21004G310";0;1;0;0;1
138;"21004D6MJ";0;0;0;0;0
139;"21004F94-";0;1;1;0;2
140;"21004F901";0;1;10;0;11
141;"21004G371";0;0;0;0;0
142;"21004G30-";1;3;0;0;4
143;"21004F930";0;0;7;0;7
144;"21004G321";0;0;0;0;0
145;"21004B2WJ";0;0;0;1;1
146;"21004B45-";0;4;0;2;6
147;"21004B49-";0;0;0;0;0
149;"21004A25-";0;4;4;3;11
150;"21004B2MJ";0;0;0;1;1
151;"21004B44-";0;6;0;14;20
152;"21004B43-";0;17;5;3;25
153;"21004B293";0;0;1;0;1
154;"21004A24-";1;6;6;2;15
155;"21004F970";0;0;0;0;0
156;"21004A35-";2;3;0;2;7
157;"21004A83-";0;2;2;4;8
158;"21004F994";0;0;0;0;0
159;"21004F531";0;5;2;1;8
160;"21004E180";0;0;3;0;3
162;"21004G3MJ";0;0;0;0;0
163;"21004F572";0;0;0;0;0
164;"21004F91-";0;6;1;0;7
165;"21004F922";0;6;1;1;8
166;"21004G3NJ";0;0;3;0;3
167;"21004C642";0;1;0;0;1
168;"21004C591";0;0;0;0;0
169;"21004C61-";0;0;0;1;1
170;"21004C54-";0;5;0;3;8
171;"21004C63-";0;1;0;1;2
172;"21004B2NJ";0;0;0;0;0
173;"21004B13-";0;2;0;0;2
174;"21004F953";0;1;5;0;6
175;"21004F9MJ";0;0;7;1;8
176;"21004A02-";0;7;0;9;16
177;"21004A70-";2;10;17;3;32
178;"21004A1MJ";0;0;0;0;0
179;"21004A03-";0;9;8;5;22
180;"21004A19-";0;1;0;0;1
181;"21004A23-";0;1;10;3;14
182;"21004A10-";0;0;0;0;0
183;"21004A01-";0;3;0;2;5
184;"21004A22-";2;4;2;5;13
185;"21004B10-";0;1;0;0;1
186;"21004A72-";0;3;9;0;12
187;"21004A71-";0;4;5;1;10
188;"21004A002";0;2;0;1;3
189;"21004A34-";0;4;1;1;6
190;"21004A15-";0;2;2;0;4
191;"21004A04-";1;0;5;1;7
192;"21004A16-";0;2;6;0;8
193;"21004A20-";0;5;11;2;18
194;"21004A14-";1;8;6;2;17
195;"21004A001";0;5;0;4;9
196;"21004A32-";0;1;3;0;4
197;"21004A30-";0;0;0;0;0
198;"21004C52-";0;3;0;1;4
199;"21004A12-";0;0;0;0;0
200;"21004C552";0;1;0;0;1
201;"21004B112";0;0;0;0;0
202;"21004A3MJ";0;0;0;2;2
203;"21004C51-";0;5;0;0;5
204;"21004A33-";0;0;10;3;13
205;"21004C53-";0;3;0;2;5
206;"21004C501";0;1;0;1;2
207;"21004A21-";2;32;11;2;47
208;"21004A13-";0;0;1;0;1
209;"21004E70-";3;24;3;0;30
210;"21004E74-";0;26;2;6;34
211;"21004E201";0;7;2;1;10
212;"21004E83-";0;17;0;1;18
213;"21004E8MJ";0;0;2;0;2
214;"21004E130";0;18;1;0;19
215;"21004E73-";0;12;7;0;19
216;"21004E72-";0;10;6;1;17
218;"21004D64-";0;0;0;0;0
219;"21004E112";0;4;0;0;4
220;"21004D62-";2;3;2;3;10
221;"21004E211";0;4;0;3;7
222;"21004D631";0;3;0;1;4
223;"21004E12-";1;12;14;0;27
224;"21004D6NJ";0;0;1;0;1
225;"21004A822";0;2;5;0;7
226;"21004E800";0;1;2;2;5
227;"21004E233";0;1;0;1;2
228;"21004E101";0;2;1;0;3
229;"21004A811";1;2;6;1;10
230;"21004D672";1;3;2;1;7
231;"21004E14-";0;13;1;1;15
232;"21004F522";0;2;0;0;2
233;"21004E82-";0;3;14;3;20
234;"21004E222";0;7;0;0;7
235;"21004E81-";0;3;0;0;3
236;"21004D600";0;0;8;0;8
237;"21004D610";0;4;10;0;14
238;"21004E8NJ";0;0;0;0;0
239;"21005A10-";0;12;2;2;16
240;"21005A042";1;7;1;4;13
241;"21005A02-";0;11;0;0;11
242;"21005A33-";0;0;0;1;1
243;"21005A14-";0;3;0;1;4
244;"21005A13-";0;0;0;0;0
245;"21005A082";0;0;0;0;0
246;"21005A01-";0;10;0;0;10
247;"21005A322";0;0;0;0;0
248;"21005A311";0;0;0;1;1
249;"21005A20-";0;1;0;0;1
250;"21005A15-";0;2;0;2;4
251;"21005A031";1;5;1;0;7
252;"21005A051";2;6;0;1;9
253;"21005A11-";1;6;0;1;8
254;"21005A00-";0;6;0;0;6
256;"21005A12-";0;14;1;2;17
257;"21005A22-";0;3;0;0;3
258;"21005A21-";0;3;0;0;3
259;"21006A12-";0;0;7;0;7
260;"21006A11-";0;0;0;0;0
261;"21006A153";1;2;0;2;5
262;"21006A13-";0;6;0;0;6
263;"21006A02-";0;0;5;0;5
265;"21006A03-";0;1;0;0;1
266;"21006A094";0;0;0;0;0
267;"21006A515";0;1;0;0;1
268;"21006A24-";0;1;4;3;8
269;"21006A403";0;11;0;0;11
270;"21006A474";0;1;0;1;2
271;"21006A201";0;4;0;1;5
272;"21006A272";0;0;0;1;1
273;"21006A21-";0;1;2;1;4
274;"21006A23-";0;7;1;1;9
275;"21006A37-";0;0;0;0;0
276;"21006A312";0;1;0;0;1
277;"21006A101";0;14;0;2;16
278;"21006A001";1;8;0;0;9
279;"21006A414";0;3;0;3;6
280;"21006A171";0;1;3;0;4
281;"21006A25-";0;1;9;0;10
282;"21006A48-";0;0;0;0;0
283;"21006A22-";0;3;0;0;3
284;"21006A011";0;5;0;2;7
285;"21006A142";0;2;0;0;2
286;"21006A042";0;3;0;3;6
287;"21006A052";2;8;0;1;11
288;"21006A323";0;0;5;0;5
289;"21007A03-";0;0;2;0;2
290;"21007A252";0;0;0;0;0
291;"21007A201";0;6;0;1;7
292;"21007A21-";0;1;0;0;1
293;"21007A291";1;0;0;0;1
294;"21007A242";0;4;0;1;5
295;"21007A75-";0;3;0;0;3
296;"21007A814";0;0;0;0;0
297;"21007A111";0;0;0;0;0
298;"21007A41-";0;1;0;0;1
299;"21007A142";0;7;0;0;7
300;"21007A53-";1;8;0;1;10
301;"21007A50-";2;9;0;0;11
302;"21007A51-";0;2;0;0;2
303;"21007A552";0;0;0;0;0
304;"21007A541";0;3;0;0;3
305;"21007A61-";2;22;1;1;26
306;"21007A06-";0;4;0;1;5
307;"21007A04-";0;0;4;0;4
308;"21007A00-";3;7;2;2;14
309;"21007A101";0;9;3;4;16
310;"21007A783";0;2;0;0;2
311;"21007A373";0;0;0;0;0
312;"21007A071";0;1;0;0;1
313;"21007A70-";0;12;0;0;12
314;"21007A239";0;13;0;0;13
315;"21007A05-";0;2;1;1;4
316;"21007A082";0;0;0;1;1
317;"21007A01-";0;3;0;1;4
318;"21007A132";0;0;0;0;0
319;"21007A52-";0;1;0;1;2
320;"21007A40-";0;5;1;0;6
321;"21007A02-";0;0;0;0;0
322;"21007A12-";0;0;0;0;0
323;"21007A60-";5;18;1;5;29
324;"21007A73-";0;6;0;1;7
325;"21007A72-";0;17;1;0;18
326;"21007A71-";0;4;0;3;7
327;"21007A79-";0;0;0;0;0
328;"21008A31-";0;4;0;0;4
329;"21008A30-";1;1;0;0;2
330;"21008A00-";0;3;0;1;4
333;"21008A220";0;11;0;0;11
334;"21008A02-";0;5;0;0;5
335;"21008A34-";0;0;0;0;0
336;"21008A35-";0;0;0;0;0
337;"21008A240";0;2;0;0;2
338;"21008A23-";0;0;0;0;0
339;"21008A20-";1;15;5;0;21
340;"21008A29-";0;1;0;0;1
341;"21008A01-";0;0;0;0;0
342;"21008A33-";0;5;0;0;5
343;"21008A32-";0;2;0;0;2
344;"21008A10-";0;9;1;2;12
346;"21008A21-";0;4;1;1;6
347;"21009A20-";0;7;0;9;16
348;"21009A23-";0;9;0;4;13
349;"21009A623";0;1;0;0;1
350;"21009A90-";0;3;0;1;4
351;"21009A652";0;2;4;0;6
352;"21009A501";0;2;0;0;2
353;"21009A552";0;6;1;0;7
354;"21009A542";1;2;0;2;5
355;"21009A051";0;3;0;0;3
356;"21009A041";0;9;0;1;10
357;"21009A00-";1;8;0;2;11
358;"21009A02-";0;12;0;2;14
359;"21009A101";0;5;2;0;7
360;"21009A03-";0;2;0;0;2
361;"21009A13-";0;3;0;0;3
362;"21009A121";0;2;0;0;2
363;"21009A63-";0;12;0;0;12
364;"21009A602";0;2;0;0;2
365;"21009A42-";0;4;0;3;7
366;"21009A40-";0;3;0;4;7
367;"21009A301";0;2;0;0;2
368;"21009A812";0;0;1;0;1
369;"21009A33-";1;14;3;1;19
370;"21009A34-";0;0;0;0;0
371;"21009A21-";2;10;0;7;19
372;"21009A43-";0;0;0;1;1
