LOY;LOYm2;Q11;INSSEC;annee_enquete;Q12;etat_2000_dbl_vitr;Q33;deuxieme_salle_bain;nbre_garage;convecteur;abs_regul_thermique;abs_espace_recreatif;abs_eau_chaude;rangement;etat_a_installation_elec;etat_b_installation_gaz;etat_c_evacuation_gaz;etat_d_chauffe_eau;etat_e_plomberie;etat_f_chassis;etat_g_isolation_thermique;etat_h_isolation_sonore;etat_i_chauffage;etat_j_escalier;etat_k_revetements_sol;etat_l_peintures_interieures;etat_m_cuisine;etat_n_sanitaires;etat_o_espaces_communs;REV;Q67a;Q67b;Q67c;Q67d;Q67e;Q14;m2;type_logement;type_logement2
365.4780662416485;18.273903312082425;20;21009A20-;2017;Studio;1;3;0;0;0;0;1;0;0;4;4;3;4;3;2;4;3;4;3;4;4;4;4;4;De 500 € à 1000 €;0;0;0;1;0;0;20;Studio;Studio_Appartement0
887.5895894440034;12.679851277771478;70;21015A05-;2017;Appartement2;1;3;0;0;0;0;0;0;1;4;4;3;4;4;4;3;5;4;3;3;4;4;3;5;De 500 € à 1000 €;0;1;1;1;0;2;70;Appartement2;Appartement2
730.956132483297;7.30956132483297;100;21015A421;2017;Appartement2;2;3;0;0;0;0;0;0;0;2;3;2;1;3;2;2;1;2;3;4;4;3;2;NA;De 1501 € à 2000 €;1;1;0;1;0;2;100;Appartement2;Appartement2
574.3226755225905;11.486453510451812;50;21015A40-;2017;Appartement1;2;3;0;0;0;0;1;0;1;5;5;5;5;4;4;1;3;1;4;2;4;4;4;NA;De 1501 € à 2000 €;0;0;0;1;0;1;50;Appartement1;Appartement1
271.4979920652246;10.859919682608984;25;21014A41-;2017;Appartement1;2;4;0;0;0;0;0;0;1;1;4;3;3;3;4;3;1;4;4;4;4;4;4;NA;De 500 € à 1000 €;0;0;0;1;0;1;25;Appartement1;Appartement1
574.3226755225905;11.486453510451812;50;21001B25-;2017;Appartement2;1;2;0;0;0;0;0;0;0;2;3;4;4;1;1;1;1;4;2;1;4;3;2;5;De 1001 € à 1500 €;0;0;2;1;2;2;50;Appartement2;Appartement2
522.111523202355;10.4422304640471;50;21001A031;2017;Appartement1;1;2;0;0;0;0;1;0;0;3;2;2;2;2;2;1;2;1;3;2;3;2;3;NA;De 1001 € à 1500 €;0;0;1;0;0;1;50;Appartement1;Appartement1
574.3226755225905;8.204609650322721;70;21015A04-;2017;Appartement3;2;4;0;0;0;0;1;0;0;5;4;4;5;5;4;4;4;5;5;5;5;3;4;NA;De 1501 € à 2000 €;0;0;0;1;2;3;70;Appartement3;Appartement3
626.533827842826;10.4422304640471;60;21012A60-;2017;Appartement1;1;3;0;0;0;0;0;0;1;5;5;5;5;5;5;4;5;4;4;4;4;4;4;NA;Refus de répondre;1;0;0;2;0;1;60;Appartement1;Appartement1
595.2071364506846;6.265338278428259;95;21004E72-;2017;Appartement1;2;1;0;1;0;0;0;0;1;4;4;4;2;3;3;1;1;1;4;3;5;5;3;5;De 2501 € à 3000 €;1;0;0;2;0;1;95;Appartement1;Appartement1
334.1513748495072;11.933977673196685;28;21016A81-;2017;NA;NA;3;NA;NA;0;0;1;0;NA;2;NA;NA;3;3;2;3;4;4;2;3;2;3;4;3;De 500 € à 1000 €;0;0;4;0;0;NA;28;NA;NA
955.4640874603097;15.924401457671827;60;21004A02-;2017;Appartement2;1;2;0;0;0;0;1;0;0;3;3;2;2;1;1;3;1;3;2;1;4;1;2;NA;De 1501 € à 2000 €;5;1;0;2;0;2;60;Appartement2;Appartement2
647.4182887709202;12.948365775418404;50;21015A04-;2017;Appartement1;2;1;0;0;0;0;1;0;0;3;3;2;2;3;1;2;2;2;3;1;1;1;1;NA;De 1001 € à 1500 €;1;0;0;1;0;1;50;Appartement1;Appartement1
595.2071364506846;8.502959092152638;70;21014A41-;2017;Appartement1;1;3;0;0;0;0;1;0;1;4;5;4;5;4;4;4;5;3;4;2;3;3;3;NA;De 1501 € à 2000 €;0;0;0;1;0;1;70;Appartement1;Appartement1
574.3226755225905;8.204609650322721;70;21015A40-;2017;Appartement1;2;3;0;0;0;0;1;0;1;4;3;NA;NA;4;4;4;3;2;3;3;4;3;3;NA;De 1001 € à 1500 €;2;0;0;1;0;1;70;Appartement1;Appartement1
730.956132483297;15.55225813794249;47;21018A22-;2017;Studio;2;3;0;1;0;0;1;0;0;4;2;2;2;2;3;1;1;2;NA;2;2;2;2;NA;De 2001 € à 2500 €;NA;NA;1;1;NA;0;47;Studio;Studio_Appartement0
438.5736794899782;8.771473589799564;50;21001B25-;2017;Appartement1;2;2;0;0;NA;0;0;0;0;4;3;3;3;2;5;3;1;3;2;1;3;3;2;NA;De 1001 € à 1500 €;0;0;0;1;0;1;50;Appartement1;Appartement1
710.0716715552028;7.474438647949503;95;21012A672;2017;Appartement2;2;4;0;0;0;0;1;0;0;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;De 1001 € à 1500 €;3;0;0;2;0;2;95;Appartement2;Appartement2
902.2087120936694;11.277608901170868;80;21002A21-;2017;Appartement2;1;2;0;0;0;0;0;0;1;4;3;3;2;2;2;2;2;3;4;2;4;4;2;NA;De 1501 € à 2000 €;2;0;0;1;0;2;80;Appartement2;Appartement2
574.3226755225905;8.204609650322721;70;21015A00-;2017;Appartement2;1;2;0;0;NA;0;0;0;1;2;2;2;2;2;2;2;2;2;3;2;2;2;2;NA;Refus de répondre;1;1;0;2;0;2;70;Appartement2;Appartement2
626.533827842826;5.22111523202355;120;21013A101;2017;Appartement1;2;2;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;De 1001 € à 1500 €;0;0;0;1;0;1;120;Appartement1;Appartement1
522.111523202355;26.10557616011775;20;21013A02-;2017;Studio;2;4;0;0;NA;0;1;0;0;4;4;4;4;4;4;3;3;4;4;4;4;4;4;NA;Refus de répondre;NA;NA;NA;2;NA;0;20;Studio;Studio_Appartement0
783.1672848035325;12.048727458515884;65;21010A141;2017;Appartement1;1;3;0;0;0;0;0;0;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;Refus de répondre;1;0;0;2;0;1;65;Appartement1;Appartement1
616.0915973787789;7.248136439750341;85;21004A23-;2017;Appartement2;2;4;0;0;0;0;1;0;1;4;4;4;NA;4;2;4;2;4;1;4;4;4;4;4;Refus de répondre;2;0;0;2;0;2;85;Appartement2;Appartement2
339.3724900815307;6.787449801630614;50;21004A71-;2017;Appartement1;2;5;0;0;0;0;0;0;0;5;5;5;5;5;5;5;4;NA;5;4;5;5;4;4;De 1001 € à 1500 €;0;0;0;1;0;1;50;Appartement1;Appartement1
626.533827842826;7.831672848035325;80;21007A71-;2017;Appartement2;2;4;0;0;0;0;0;0;1;4;5;5;NA;5;4;5;4;5;5;4;5;4;5;4;De 1001 € à 1500 €;0;0;0;1;0;2;80;Appartement2;Appartement2
835.378437123768;NA;NA;21015A00-;2017;Appartement2;1;3;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;De 1001 € à 1500 €;2;0;0;1;0;2;NA;Appartement2;Appartement2
522.111523202355;NA;NA;21015A612;2017;Appartement1;2;3;0;0;NA;0;1;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;De 1501 € à 2000 €;0;1;0;1;0;1;NA;Appartement1;Appartement1
730.956132483297;11.245478961281492;65;21006A001;2017;Appartement1;1;1;0;0;NA;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;De 1001 € à 1500 €;0;0;0;0;1;1;65;Appartement1;Appartement1
835.378437123768;NA;NA;21014A41-;2017;Appartement2;1;2;0;0;0;0;1;0;0;2;2;NA;1;NA;1;1;1;2;2;1;1;2;2;NA;De 1501 € à 2000 €;4;0;0;2;0;2;NA;Appartement2;Appartement2
678.7449801630614;13.574899603261228;50;21013A40-;2017;Appartement1;1;3;0;NA;0;0;1;0;0;3;3;4;3;3;1;1;2;1;1;4;3;3;3;1;De 1001 € à 1500 €;1;0;0;1;0;1;50;Appartement1;Appartement1
1044.22304640471;8.70185872003925;120;21013A23-;2017;Appartement3;2;3;0;NA;0;0;0;0;1;1;4;4;5;3;3;1;4;2;2;3;3;3;3;3;De 2001 € à 2500 €;2;0;0;2;0;3;120;Appartement3;Appartement3
887.5895894440034;14.793159824066723;60;21013A41-;2017;Appartement1;2;4;0;NA;0;0;0;0;1;4;5;5;5;5;5;5;5;5;2;4;5;4;5;3;De 1501 € à 2000 €;0;0;0;1;0;1;60;Appartement1;Appartement1
563.8804450585434;16.110869858815526;35;21013A40-;2017;Appartement1;2;4;0;NA;0;0;0;0;1;4;5;4;4;4;4;4;4;4;3;4;4;4;4;4;De 1001 € à 1500 €;0;1;0;0;0;1;35;Appartement1;Appartement1
626.533827842826;15.66334569607065;40;21013A41-;2017;Appartement1;2;4;0;NA;0;0;1;0;1;4;4;4;4;4;4;4;4;4;2;4;4;4;4;2;De 1001 € à 1500 €;0;0;0;1;0;1;40;Appartement1;Appartement1
574.3226755225905;14.358066888064764;40;21013A01-;2017;Appartement1;2;1;0;NA;1;0;0;0;1;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1;De 500 € à 1000 €;0;0;0;0;1;1;40;Appartement1;Appartement1
783.1672848035325;10.4422304640471;75;21013A13-;2017;Appartement2;NA;4;0;NA;NA;0;0;0;0;4;4;3;3;3;3;1;1;2;2;4;4;4;4;2;De 2501 € à 3000 €;1;0;0;0;0;2;75;Appartement2;Appartement2
626.533827842826;12.53067655685652;50;21013A13-;2017;Studio;2;3;0;NA;1;0;1;0;1;3;4;3;3;3;2;2;2;2;2;2;2;2;2;1;De 1001 € à 1500 €;0;0;0;1;0;0;50;Studio;Studio_Appartement0
939.800741764239;13.425724882346271;70;21013A101;2017;Appartement3;2;3;0;NA;0;0;1;0;0;3;5;5;4;2;2;2;2;3;3;2;3;3;3;2;De 1501 € à 2000 €;0;0;0;3;0;3;70;Appartement3;Appartement3
469.9003708821195;11.747509272052987;40;21013A13-;2017;Appartement1;2;5;0;NA;0;0;1;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Plus de 3500 €;0;0;0;1;0;1;40;Appartement1;Appartement1
715.2927867872263;14.305855735744526;50;21013A13-;2017;Studio;2;4;0;NA;0;0;1;0;0;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;De 1001 € à 1500 €;0;0;0;1;0;0;50;Studio;Studio_Appartement0
