id,name,value
21015A36-,CAMBIER (AVENUE E.),24042.64
21015A612,BRICHAUT (RUE DE),16949.05
21015A54-,EMERAUDE (AVENUE),23742.28
21015A53-,DAILLY (PLACE),18817.7
21019A02-,CLOS DU SOLEIL,28716.06
21019A03-,CAPITAINE PIRET (AVENUE),27653.09
21019A04-,EGGERICX (RUE),26246.51
21019A052,DON BOSCO,28215.08
21019A11-,MILLE METRES (AVENUE),26846.24
21017A021,DREVE DES EQUIPAGES,29221.6
21017A01-,COIN DU BALAI,26486.26
21017A000,CENTRE DE BOITSFORT,25936.4
21015A40-,BRABANT (RUE DE),15307.96
21015A41-,VANDERLINDEN (RUE),16820.24
21015A421,PALAIS (RUE DE),17391.04
21015A43-,GARE DU NORD,18763.02
21015A44-,REINE (AVENUE),16452.92
21015A45-,STEPHENSON (PLACE),16216.98
21015A50-,OPALE,24425.34
21015A51-,CERISIERS (AVENUE DES),26781.55
21015A52-,LINTHOUT (RUE),23540.69
21019A001,CENTRE,25874.9
21018A3MJ,GULLEDELLE,32798.93
21018A37-,COMMUNAUTES,24654.69
21018A35-,HOF TEN BERG-NORD,15766.54
21009A2MJ,CAMPUS UNIVERSITAIRE,4851.57
21009A301,BOONDAEL-NORD,24464.95
21009A311,TREILLE (RUE DE LA),24696.07
21009A33-,SAINT-ADRIEN,21947.9
21009A34-,STADE COMMUNAL,16397.09
21009A40-,MELEZES,23205.15
21009A41-,SAINT-GEORGES,22015.55
21009A23-,ETOILE (ROND POINT DE L'),24330.64
21009A42-,RENIER CHALON,25648.87
21014A14-,PRAIRIE,14943.45
21014A3MJ,MANHATTAN,26411.7
21014A41-,BOSSUET,16111.95
21017A696,HERONNIERE,30242.8
21018A00-,TOMBERG,27905.88
21018A01-,SAINT-LAMBERT,25833.78
21018A02-,SLEGERS (AVENUE),28190.08
21009A44-,PREVOT,20440.18
21009A22-,UNIVERSITE,23712.92
21009A21-,ETE,17528.03
21009A20-,PETITE SUISSE (PLACE DE LA),17414.96
21009A90-,SAINT-PHILIPPE DE NERI,18221.7
21009A911,A. DELPORTE-SUD,23298.28
21009A922,CASERNE (Ixelles),19149.28
21010A00-,CENTRE,22791.09
21009A501,LUXEMBOURG (PLACE DE),22001.77
21010A02-,LEOPOLD I,21987.92
21009A451,CHATELAIN (PLACE DU)-EST,22754.88
21009A43-,FERNAND NEURAY,24870.05
21009A02-,MUSEE,17692.68
21009A03-,ERMITAGE,21603.75
21009A041,ARBRE BENIT,20648.3
21009A051,SAINT-BONIFACE,18148.03
21009A101,FLAGEY (PLACE),18461.92
21009A111,WERY (RUE),18111.48
21009A121,GENERAL DE GAULLE,25876.84
21009A13-,GACHARD,22792.56
21009A151,A. DELPORTE-NORD,21765.46
21018A031,ABELOOS,23931.01
21018A04-,BEETEPUT,23975.46
21018A05-,DRIES,26639.8
21018A09-,RASANTE,34532.16
21017A212,AVENUE DE LA TENDERIE,29810.09
21017A220,LE LOGIS-SUD,17269.01
21017A230,BEGUINETTES,28568.62
21017A240,SOUVERAIN-OUEST,27791.44
21017A312,CLOS DES CHENES,37640.09
21017A323,DREVE DES TUMULI,36332.72
21017A374,ZONING DE BUREAUX-SUD,17206.68
21017A41-,AVENUE DE VISE,25136.96
21017A421,WATERMAEL - STATION,26497.56
21017A432,DRIES,28618.48
21017A443,VILLE-ET-FORET - ELAN,15919.16
21017A451,FUTAIE,28936.92
21017A501,CENTRE DE WATERMAEL,24852.1
21017A512,VANDER ELST - BIEN FAIRE,27629.58
21017A523,MARTIN-PECHEUR,26275.3
21017A534,RUE DES BEGONIAS,27671.41
21018A34-,HOF TEN BERG-SUD,36137.41
21017A13-,BOULEAUX,29716.07
21015A05-,ROYALE SAINTE-MARIE (RUE),17224.36
21017A12-,LE LOGIS-NORD,20598.28
